Dataset,AccSingle,AccMajority,AccProbAvg,EntSingle,EntProbAvg
MNIST,1.0,1.0,1.0,0.0022535896860063076,0.007533120457082987
KMNIST,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.7784479260444641,0.826693058013916
